congress,chamber,icpsr,bioname,party_code,post_mean,post_median,post_sd,post_025,post_975,nominate_dim1,nominate_dim2
114,House,20336,"GARRETT, Scott",200,1.6861033122456457,1.6860914114394496,0.06694482341611903,1.556253774673554,1.8183827049581092,0.688,-0.243
114,House,20337,"PEARCE, Stevan",200,1.4206190158759582,1.4202461582571702,0.06508987953334532,1.2940396143295678,1.5492257909699207,0.472,0.064
114,House,20340,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",100,-1.7098449606174901,-1.7078079795718437,0.08263881710695212,-1.8764245455324617,-1.5544694290395007,-0.404,0.184
114,House,20342,"TURNER, Michael R.",200,0.7702816863517176,0.7700450023951941,0.05602553126935869,0.6630465047304219,0.8801709079308173,0.275,0.217
114,House,20343,"RYAN, Timothy J.",100,-1.6263078580102248,-1.6257625215419496,0.07641797557698138,-1.7768754923805423,-1.4777911512797455,-0.402,0.208
114,House,20344,"COLE, Tom",200,0.8721065836854472,0.8718712678655458,0.056302531642878725,0.7624213834265058,0.981818894583338,0.329,0.37
114,House,20346,"MURPHY, Timothy",200,0.9634017519688474,0.9627209631223632,0.058446616485493874,0.8491991447624959,1.0776186620397874,0.258,0.198
114,House,20351,"BLACKBURN, Marsha",200,1.656065590965582,1.6556738483696007,0.0641655487127762,1.5312197154124163,1.7817766184689154,0.627,0.152
114,House,20352,"HENSARLING, Jeb",200,1.6004042829786085,1.6009928092398507,0.06449706800446099,1.4746918543159302,1.7266032889955776,0.703,0.04
114,House,20353,"NEUGEBAUER, Randy",200,1.6630631289189541,1.6630866993968334,0.06500395835526997,1.5364849881730138,1.7892782875699855,0.628,0.322
114,House,20355,"BURGESS, Michael C.",200,1.692608508668128,1.6923006856126197,0.06561491295932076,1.5632609804534234,1.8210359099681659,0.574,-0.201
114,House,20356,"CARTER, John R.",200,1.2935404700756852,1.2928206367127166,0.06174636225710804,1.1747882155460303,1.4164923962241496,0.481,0.584
114,House,20357,"BISHOP, Robert (Rob)",200,1.3985223429289586,1.3980827452201656,0.06425728823901347,1.2745885263965608,1.5252566648939163,0.537,0.105
114,House,20501,"COSTA, Jim",100,-0.559741850990349,-0.5599402460312439,0.04418559034689189,-0.6460193395536391,-0.4724144515589045,-0.193,0.456
114,House,20504,"WASSERMAN SCHULTZ, Debbie",100,-1.8182041470652306,-1.8171156703709392,0.08786686803382458,-1.990078037057237,-1.6479383528934068,-0.42,0.08
114,House,20505,"PRICE, Tom",200,1.5822708898084898,1.5816780995048298,0.06565783039870698,1.4535796577388576,1.711687483851015,0.644,-0.073
114,House,20506,"WESTMORELAND, Lynn A.",200,1.595336174593672,1.59476940161384,0.0700424410407586,1.4584338360784768,1.7346017498572777,0.672,0.189
114,House,20508,"LIPINSKI, Daniel",100,-0.9119064566709878,-0.9121814360726122,0.050294655486503206,-1.0097931669719955,-0.8127944280838383,-0.227,0.176
114,House,20514,"BOUSTANY, Charles W.",200,1.0803870946241558,1.0805541998490464,0.058825813158301904,0.9659555974750711,1.1970513505173064,0.392,0.308
114,House,20517,"CLEAVER, Emanuel, II",100,-1.9570991517498186,-1.9567448925460071,0.09031792849199854,-2.13569926604208,-1.782487928404658,-0.453,0.017
114,House,20518,"FORTENBERRY, Jeff",200,0.8151434219329512,0.8151263428812834,0.05575004239948412,0.7050253370851792,0.9230862377054485,0.304,-0.061
114,House,20519,"HIGGINS, Brian",100,-1.6722560839126013,-1.6722706478840839,0.07576587761277359,-1.8216247934697944,-1.5227887958302768,-0.348,-0.033
114,House,20521,"FOXX, Virginia Ann",200,1.4596057465200627,1.4592140895592771,0.06554343099069386,1.331804678735051,1.5893233567896756,0.627,0.149
114,House,20522,"McHENRY, Patrick T.",200,1.3315253144226145,1.3316953385860162,0.06265499112402018,1.2095654981031498,1.4524257359981152,0.536,0.106
114,House,20524,"FITZPATRICK, Michael G.",200,0.42105282290130186,0.42129971147199335,0.048656973928581815,0.3252252395037255,0.5159158394102076,0.202,-0.186
114,House,20526,"DENT, Charles W.",200,0.5400995780868062,0.5401406699886875,0.050546980182994056,0.44124482382143604,0.6393596390102144,0.244,-0.085
114,House,20527,"GOHMERT, Louie",200,2.1053163393917935,2.1057384943289588,0.05980894146996946,1.9871228393191633,2.2218137120509245,0.642,-0.398
114,House,20528,"POE, Ted",200,1.4424554992428087,1.4418833419534698,0.06929983848607267,1.3087020171603785,1.5814935995866521,0.594,-0.029
114,House,20529,"GREEN, Al",100,-1.6371719174787729,-1.6362801640531723,0.07624323099236846,-1.7893218114793963,-1.49012942703669,-0.438,0.294
114,House,20530,"McCAUL, Michael T.",200,1.3554825383611104,1.3552077120615962,0.06280043568939282,1.233653651394979,1.478519907165006,0.424,0.111
114,House,20531,"CONAWAY, K. Michael",200,1.5141726774485684,1.5132159318055731,0.06510912626149988,1.387206253107997,1.6416411320860276,0.593,0.367
114,House,20532,"MARCHANT, Kenny",200,1.6349104972742299,1.6349187922126909,0.06946526749407857,1.4999307312213783,1.770537063312585,0.6,0.154
114,House,20533,"CUELLAR, Henry",100,-0.5774889582368069,-0.5779397152203992,0.04437814212211075,-0.6642335197734612,-0.4889451038320392,-0.229,0.618
114,House,20535,"McMORRIS RODGERS, Cathy",200,1.158976508583155,1.1592045617460018,0.06083448257320443,1.0392753647493478,1.278519671028303,0.422,0.134
114,House,20536,"REICHERT, David G.",200,0.4853054914522838,0.48509456011601265,0.04961043105029051,0.3891564743223099,0.5827296090743157,0.224,-0.146
114,House,20537,"MOORE, Gwendolynne S. (Gwen)",100,-2.162238884643388,-2.162178323493803,0.09046828967503791,-2.341276081797988,-1.9836208945524576,-0.525,-0.252
114,House,20538,"MATSUI, Doris",100,-1.9204001343246058,-1.9196812987873817,0.08567238926070184,-2.0903177466150265,-1.7557492503199827,-0.434,-0.157
114,House,20542,"SIRES, Albio",100,-1.5079873513063344,-1.5077742627714745,0.07113036821228262,-1.649351124965998,-1.371327828747399,-0.405,0.098
114,House,20702,"McNERNEY, Jerry",100,-1.6135862365278326,-1.6124504073123358,0.07373245102844148,-1.759388830542629,-1.470521052382964,-0.263,-0.159
114,House,20703,"MCCARTHY, Kevin",200,1.2615124415571355,1.2616391498627006,0.06088402748125892,1.1430820847718715,1.380254548313729,0.454,0.234
114,House,20704,"LAMBORN, Doug",200,1.6449649404002338,1.6444857308506449,0.06662638519522113,1.515026732339034,1.7748345313659797,0.67,0.216
114,House,20705,"PERLMUTTER, Ed",100,-1.413465088976248,-1.41270854973266,0.06729197935223755,-1.5468659700694072,-1.2821141360476005,-0.282,0.072
114,House,20706,"COURTNEY, Joe",100,-1.5115760884982132,-1.5107680753969888,0.06904208118086831,-1.6499601946656903,-1.3776902866594434,-0.343,0.018
114,House,20708,"CASTOR, Kathy",100,-1.844341093910417,-1.8434243755499529,0.08505243537269722,-2.0148744003104717,-1.6788200813756955,-0.439,0.054
114,House,20709,"BUCHANAN, Vernon G.",200,0.892777866121611,0.8928040413929835,0.05729316421033542,0.7822413837419695,1.006646258934215,0.362,-0.113
114,House,20712,"JOHNSON, Hank",100,-1.990674311150569,-1.9886708436740508,0.0983009362846862,-2.188413443447031,-1.8033696140080793,-0.468,-0.002
114,House,20715,"ROSKAM, Peter",200,1.1393923239336752,1.139260254786237,0.060522217570403755,1.0223490952246463,1.2575716229065883,0.429,0.018
114,House,20720,"LOEBSACK, Dave",100,-1.4597515221482733,-1.4589494836534633,0.0672255306374704,-1.5933623220879127,-1.3286075339271537,-0.276,-0.027
114,House,20723,"YARMUTH, John",100,-2.092313281389737,-2.0927484548533686,0.09474266980164098,-2.278036733419581,-1.9062724597793042,-0.378,-0.274
114,House,20724,"SARBANES, John",100,-2.1312641732797797,-2.131712214935505,0.08819015358124993,-2.303870101811012,-1.957820451300621,-0.467,-0.073
114,House,20725,"WALBERG, Tim",200,1.3610666339795756,1.3609265918803453,0.0624138603105385,1.2401383653046638,1.4832489784496752,0.511,0.098
114,House,20726,"WALZ, Tim",100,-1.1309526256272668,-1.1310907611075058,0.05575227917383263,-1.2413368845986483,-1.0220460591881806,-0.275,0.131
114,House,20727,"ELLISON, Keith",100,-2.417424975581555,-2.418340571941727,0.08771280459973596,-2.587216473838172,-2.242094715460275,-0.537,-0.58
114,House,20729,"SMITH, Adrian",200,1.4241220365538096,1.4237424244229446,0.06339207191862788,1.3012190145982188,1.548138765079514,0.516,0.213
114,House,20733,"CLARKE, Yvette Diane",100,-2.364927097529283,-2.365844306518021,0.08698673818377495,-2.5339081260224905,-2.192274463181696,-0.612,-0.224
114,House,20738,"JORDAN, Jim",200,1.9273605125315962,1.9275880523241864,0.061875307812196044,1.8061518908360539,2.0485192712533062,0.718,-0.202
114,House,20748,"COHEN, Stephen",100,-1.8106873148150213,-1.8102877267927404,0.08497958205161199,-1.978473329258846,-1.6477516466397568,-0.398,-0.352
114,House,20749,"FOSTER, Bill",100,-1.4278641760651996,-1.4276195662565767,0.0660838590481685,-1.5577245869703435,-1.2994063284037345,-0.23,-0.223
